gene	PC9.DMSO1	PC9.DMSO2	PC9.DMSO3	PC9.osiacute1	PC9.osiacute2	PC9.osiacute3	PC9.osiDTP1	PC9.osiDTP2	PC9.osiDTP3
UNK	1744.185886	2214.422779	1652.977779	1819.78746	1881.451521	1737.496702	2129.266317	2700.959527	2876.616494
UNKL	1849.246698	2220.138483	1614.785621	1251.796917	1494.347007	1352.713285	1374.812427	1842.499273	1435.574455
UPB1	2.395283506	5.556253661	4.293102878	23.48513513	9.104311438	9.621623556	10.65990739	25.944251	12.65356912
UPF1	9465.997232	11618.00712	8849.48968	8820.376705	11282.26826	8993.99962	7618.023318	9031.200863	10162.04991
UPF2	2016.930578	2581.536164	2262.076356	1777.824194	2535.733715	1953.980854	1856.935946	2319.803404	2824.647338
UPF3A	1041.493728	1549.646302	1291.823825	1143.688378	1365.903517	1054.010635	881.22048	1176.415489	1411.255425
UPF3B	1047.990541	1503.411093	1222.51154	1169.156191	1567.684055	1121.542541	990.0764341	1231.566386	1246.022211
UPK1A	5.592459199	1.870726184	3.535865796	21.61752102	34.6541756	14.92054581	51.27665263	54.30449874	54.65037681
UPK1B	4.44810948	10.42124878	0	15.21628823	7.808134223	2.62220407	5.985153973	5.316717182	14.3598852
UPK2	373.6075128	610.4938951	375.2087213	2402.543019	3220.947487	2763.026518	4401.902518	6200.973021	5704.839033
UPK3A	3.589548238	2.698128582	0.90575538	31.99237224	60.35132146	34.12992496	50.92463506	102.1345983	85.5898476
UPK3B	261.8314142	313.5152274	181.5627614	1875.092219	2051.1992	1926.183337	2392.984349	3219.687074	3454.350763
UPK3BL1	198.3123891	244.0718078	142.431849	939.5578976	1272.715114	882.6430644	851.621532	1119.565808	1324.959141
UPP1	4973.619327	5825.490187	4261.744988	1374.264627	1390.427542	1222.842718	969.3918714	1034.842714	1310.088535
UPP2	0	4.873392752	0	5.956610642	0	4.13371568	1.683614763	1.678656951	4.626714477
UPRT	187.6270223	195.1870546	161.2603805	280.5689594	387.0551341	369.9659057	232.9044205	317.4039697	419.5072081
UQCC1	1311.938139	1724.176779	1413.191875	1345.661178	1288.967587	1312.611268	1142.105355	1454.884991	1558.301446
UQCC2	1259.313125	1588.753302	1093.47961	890.0360328	758.7498766	883.857047	852.8612327	925.208458	1039.900707
UQCC3	1893.47634	2148.657956	1586.095851	892.7021155	979.3686226	827.3342069	941.1286641	1194.79196	1168.150928
UQCR10	3018.783894	3515.477964	2658.353516	2038.87745	2176.675967	2240.187087	1874.360949	2117.458185	2522.241929
UQCR11	1763.233538	2470.153928	1639.161662	2113.021069	2542.195523	1966.168889	1293.530073	1362.378312	1760.93298
UQCRB	4027.884471	5122.047999	4207.422937	5759.213245	6661.790862	5697.938181	4097.435664	4865.344807	5490.302638
UQCRC1	7072.604868	8791.905908	6849.587827	7603.910389	8568.681788	7473.662369	5216.263537	6433.500161	6387.81926
UQCRC2	6277.694294	7531.512074	6389.635466	5808.955931	6720.370745	5579.693757	4743.422094	5388.801894	5256.86287
UQCRFS1	3970.097542	4760.935004	3952.266189	2524.67406	2925.400835	2636.899427	2267.39956	2511.540505	2765.419325
UQCRH	7967.128066	10382.96408	8150.244676	6397.847752	7075.900347	6246.468379	4935.766834	5999.682311	6440.518685
UQCRHL	1.948044985	6.924951691	4.917613219	17.46499182	12.20288391	8.763619621	16.78784186	31.54973933	21.76488619
UQCRQ	2622.004501	3580.251511	2765.3625	2700.42455	2872.797031	2604.231672	1944.813304	2129.069347	2403.687905
URAD	0	0	0	0	0	0	0	0	0
URB1	2449.550691	2815.427685	2343.68847	1100.363951	1453.087578	1341.26016	1434.922601	1564.426307	1841.195226
URB2	1452.736236	1784.202757	1595.364014	306.142998	334.3795723	335.7159463	578.2431224	518.0207453	667.0848547
URGCP	2680.959628	3197.19643	2870.341772	2504.84887	2527.437166	2246.512246	2382.461564	2672.201626	3533.237086
URGCP.MRPS24	3.038064619	10.71915524	7.104432601	0	7.173379021	0	0	3.46533384	3.390387615
URI1	2870.297286	3489.7976	2965.287963	1861.304923	2359.551018	1750.423161	2016.956951	2379.78775	2517.548162
URM1	2962.964383	3223.976557	2569.091633	2823.950912	3142.604023	2756.326796	2489.551771	2715.572569	2933.637148
UROC1	0	1.042948509	0	1.028579809	0	1.034586013	2.686883126	3.120756877	0
UROD	1761.464387	1996.25471	1598.314316	2194.28727	2505.465615	2060.458082	1564.146636	1794.436496	2096.650147
UROS	1432.156559	1638.814145	1296.145429	1058.600867	980.634977	990.4969631	1013.048475	1041.741343	1079.517144
USB1	3702.77975	4582.402847	3806.393933	2709.061127	3012.26089	3036.429184	2687.306879	2988.330956	3265.061028
